ncm;nac;imp;est;mun
03071200;13.45;21.23;18.00;0.00
03071900;13.45;21.23;18.00;0.00
03072100;13.45;21.23;18.00;0.00
03072200;13.45;21.23;18.00;0.00
03072900;13.45;21.23;18.00;0.00
03073100;13.45;21.23;18.00;0.00
03073200;13.45;21.23;18.00;0.00
03073900;13.45;21.23;18.00;0.00
03074200;13.45;21.23;18.00;0.00
03074310;13.45;21.23;18.00;0.00
03074320;13.45;21.23;18.00;0.00
03074900;13.45;21.23;18.00;0.00
03075100;13.45;21.23;18.00;0.00
03075200;13.45;21.23;18.00;0.00
03075900;13.45;21.23;18.00;0.00
03076000;13.45;21.23;18.00;0.00
03077100;13.45;21.23;18.00;0.00
03077200;13.45;21.23;18.00;0.00
03077900;13.45;21.23;18.00;0.00
03078100;13.45;21.23;18.00;0.00
03078200;13.45;21.23;18.00;0.00
03078300;13.45;21.23;18.00;0.00
03078400;13.45;21.23;18.00;0.00
03078700;13.45;21.23;18.00;0.00
03078800;13.45;21.23;18.00;0.00
03079100;13.45;21.23;18.00;0.00
03079200;13.45;21.23;18.00;0.00
03079900;13.45;21.23;18.00;0.00
03081100;13.45;21.23;18.00;0.00
03081200;13.45;21.23;18.00;0.00
03081900;13.45;21.23;18.00;0.00
03082100;13.45;21.23;18.00;0.00
03082200;13.45;21.23;18.00;0.00
03082900;13.45;21.23;18.00;0.00
03083000;13.45;21.23;18.00;0.00
03089000;13.45;21.23;18.00;0.00
03091000;13.45;21.23;18.00;0.00
03099000;13.45;21.23;18.00;0.00
0401;13.45;15.45;0.00;2.84
04011010;13.45;23.28;12.00;0.00
04011090;13.45;30.76;12.00;0.00
04012010;13.45;23.28;12.00;0.00
04012090;13.45;22.27;12.00;0.00
04014010;13.45;22.27;12.00;0.00
04014021;13.45;23.28;18.00;0.00
04014029;13.45;22.27;18.00;0.00
04015010;13.45;22.27;12.00;0.00
04015021;13.45;23.28;18.00;0.00
04015029;13.45;22.27;18.00;0.00
